User,Название,Жанр,Рейтинг
User15,Film_188,боевик,4.3
User109,Film_13,боевик,3.5
User46,Film_151,комедия,3.0
User21,Film_328,боевик,5.0
User147,Film_18,боевик,4.6
User121,Film_391,триллер,4.2
User2,Film_296,мелодрама,3.4
User5,Film_332,триллер,5.0
User92,Film_55,комедия,3.0
User134,Film_144,фантастика,2.7
User147,Film_359,фантастика,1.8
User108,Film_144,фантастика,5.0
User83,Film_31,триллер,3.8
User81,Film_127,детектив,2.7
User7,Film_293,мелодрама,2.6
User31,Film_383,мелодрама,4.7
User1,Film_400,боевик,2.4
User98,Film_118,мелодрама,1.9
User73,Film_32,фантастика,2.0
User110,Film_220,детектив,5.0
User72,Film_349,фантастика,2.7
User53,Film_111,триллер,5.0
User146,Film_297,мелодрама,4.3
User58,Film_145,триллер,3.9
User45,Film_260,боевик,3.2
User130,Film_55,комедия,2.8
User29,Film_242,фантастика,4.8
User29,Film_243,драма,4.1
User74,Film_274,боевик,4.3
User118,Film_19,драма,3.7
User106,Film_321,триллер,3.7
User29,Film_71,триллер,4.6
User69,Film_13,боевик,4.7
User73,Film_74,драма,1.7
User30,Film_105,фантастика,3.1
User45,Film_78,боевик,2.6
User15,Film_41,драма,5.0
User36,Film_151,комедия,2.8
User78,Film_75,детектив,3.6
User38,Film_223,фантастика,4.6
User136,Film_281,мелодрама,4.0
User42,Film_88,мелодрама,4.7
User100,Film_28,триллер,2.9
User134,Film_393,мелодрама,5.0
User125,Film_222,детектив,5.0
User106,Film_161,драма,4.4
User114,Film_216,драма,3.4
User123,Film_289,фантастика,3.8
User144,Film_22,мелодрама,3.2
User118,Film_270,детектив,3.5
User137,Film_155,триллер,3.1
User66,Film_165,комедия,4.2
User15,Film_233,боевик,3.8
User16,Film_196,комедия,2.5
User87,Film_398,триллер,4.3
User2,Film_241,детектив,2.4
User74,Film_242,фантастика,3.0
User126,Film_388,детектив,2.7
User27,Film_90,фантастика,3.1
User76,Film_91,триллер,2.3
User91,Film_110,комедия,3.9
User81,Film_185,триллер,4.8
User31,Film_236,комедия,4.2
User2,Film_169,фантастика,2.6
User46,Film_274,боевик,2.1
User103,Film_306,комедия,2.0
User27,Film_139,детектив,3.1
User114,Film_325,мелодрама,4.5
User148,Film_125,детектив,4.1
User71,Film_328,боевик,1.8
User41,Film_12,боевик,2.8
User56,Film_131,мелодрама,4.4
User24,Film_361,триллер,3.3
User49,Film_380,фантастика,3.7
User31,Film_215,драма,2.6
User12,Film_117,детектив,4.3
User5,Film_184,драма,4.9
User84,Film_108,мелодрама,2.4
User83,Film_190,боевик,3.2
User61,Film_26,фантастика,3.0
User14,Film_83,детектив,3.5
User67,Film_292,драма,3.4
User20,Film_97,детектив,2.0
User39,Film_84,комедия,5.0
User121,Film_350,мелодрама,4.4
User137,Film_122,фантастика,3.0
User73,Film_153,комедия,4.1
